hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
Universal's Cabana Bay Beach Resort,32819,7426,8.9,9.1,8.9,9,8.8,8.4,8.7,9.4,0,0,0,1,1,0,0,1,1,0,1,1,0,6.8,0
Regal Oaks – The Official CLC World Resort,34746,3252,8.8,8.6,9.2,8.9,8.4,8.8,8.3,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,16.2,0
Magic Village Resort Orlando Near Disney,34747,672,9.1,9.1,9.4,9.1,8.9,8.7,8.9,9.2,0,1,0,0,0,1,0,1,1,0,1,1,0,18.6,0
Floridays Resort Orlando Near Disney/Seaworld,32821,3719,8.5,8,8.8,8.5,8.6,8.5,8.1,8.9,1,0,0,1,1,0,0,1,0,1,1,0,0,11.8,0
Universal's Hard Rock Hotel,32819,2484,9,9.2,9.3,9.2,9.1,7.9,8.8,9.7,0,0,0,1,1,0,0,1,1,1,1,0,0,6.2,0
Universal's Loews Sapphire Falls Resort,32819,2507,9.1,9.3,9.2,9.2,9.1,8.4,8.8,9.5,0,0,0,1,1,0,0,1,0,1,1,1,0,6.8,0
Orlando Resort Rentals at Universal Boulevard,32819,878,9.2,9.1,9.4,9.2,8.8,9.1,9.2,9.4,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1,0
Wyndham Bonnet Creek,32830,492,8.6,8.6,8.9,8.8,8.3,8.2,8.6,9.2,0,1,0,0,0,0,0,1,0,0,1,1,0,14.9,0
Sheraton Vistana Resort Villas,32821,2458,8.9,8.7,9.1,8.9,8.5,8.7,8.9,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,13.7,0
Hyatt Regency Orlando International Airport Hotel,32827,1770,8.8,9,9,8.8,9,7.5,8.5,9.4,0,0,0,1,1,0,0,1,0,0,1,1,0,8.1,0
Homewood Suites by Hilton Orlando Theme Parks,32821,795,9.3,9.5,9.5,9.3,9,9.1,8.9,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,9.9,0
Universal's Loews Royal Pacific Resort,32819,1793,9.1,9.2,9.3,9.2,9.2,8,8.7,9.6,0,0,0,1,1,0,0,1,1,1,1,0,0,6.8,0
SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,32821,4325,8.6,8.6,8.5,8.4,8.6,8.5,8.5,9,0,0,0,1,1,0,0,1,1,0,0,1,0,13,0
Sonesta ES Suites Orlando International Drive,32819,886,8.6,8.3,8.7,8.5,8.8,8.3,8.1,9.3,1,1,0,1,0,0,0,1,0,0,1,1,0,8.1,0
WorldQuest Orlando Resort,32821,1086,8.5,8.2,8.8,8.4,8.6,8.4,8.4,8.8,0,1,0,1,0,1,0,1,0,0,1,1,0,14.3,0
Hawthorn Suites by Wyndham Kissimmee Gateway,34747,404,8.7,8.5,8.8,8.5,8.6,8.9,8.4,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,18,0
SpringHill Suites by Marriott Orlando at Millenia,32839,77,9.4,9.8,9.5,9.5,9.3,9.2,6.9,9.3,0,1,1,0,0,0,0,1,1,0,0,1,0,4.3,0
Staybridge Suites Orlando - Lake Buena Vista,32836,2905,9,8.9,9.1,9,9.1,9,9.1,9.3,1,1,0,1,0,0,0,1,0,0,0,1,0,12.4,0
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista in the Marriott Village,32821,3108,8.7,8.7,8.6,8.5,8.7,8.6,8.6,9,0,0,0,1,1,0,0,1,0,0,0,1,0,13,0
Fairfield Inn Suites by Marriott Orlando At SeaWorld,32821,2292,8.9,9,8.9,8.8,9.1,8.7,8.9,9.2,1,0,0,1,1,0,0,1,0,0,1,1,0,9.3,0
"Lake Buena Vista Resort Village and Spa, a staySky Hotel & Resort",32821,1692,8.5,8.1,8.7,8.5,8.4,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,13.7,0
Sheraton Vistana Villages Resort Near Universal Blvd.,32821,3142,8.8,8.7,9.1,8.9,8.7,8.6,8.7,9.1,0,1,0,1,0,0,0,1,0,0,1,1,0,11.8,0
Comfort Suites Maingate East,34746,1117,8.9,9,9,8.8,8.8,9,9.2,9.1,1,1,0,0,0,0,0,1,1,0,1,1,0,16.2,0
Universal's Loews Portofino Bay Hotel,32819,580,8.9,9,9.2,9.1,8.9,7.9,9.1,9.5,0,0,0,1,1,0,0,1,1,1,1,0,0,5.6,0
Windsor Hills Apartment,34747,50,9.2,8.9,9.3,9.2,8.9,9.5,9.2,9.6,0,1,1,1,0,0,0,1,0,0,0,1,0,19.3,0
Olivia's Dream Villa in Windsor Hills,34747,10,9.3,9.3,9.8,9.5,8.8,9.3,10,9.5,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,0
Hyatt Place - Orlando Convention Center,32819,669,8.6,8.6,8.7,8.4,8.9,8.2,8.6,9.1,0,1,0,1,0,0,0,1,0,1,1,1,0,8.1,0
Walt Disney World Dolphin,32830,2233,8.2,8.3,8.3,8.2,8.3,7.2,7.3,8.9,1,0,0,1,1,0,0,0,0,0,1,1,1,15.5,1
Staybridge Suites Orlando at SeaWorld,32821,200,9.1,8.6,9.3,9,9.2,8.9,9.4,9.3,0,1,1,0,0,0,0,1,1,0,0,1,0,9.9,0
DoubleTree by Hilton at the Entrance to Universal Orlando,32819,1862,8.5,8.6,8.5,8.3,8.6,8,7.9,9,0,0,0,1,1,0,0,1,0,0,1,1,0,5.6,0
Waldorf Astoria Orlando,32821,474,8.8,9.1,9.2,8.9,8.9,7.8,7.2,8.8,0,0,0,1,1,0,0,0,0,0,1,1,1,15.5,0
Walt Disney World Swan,32830,1595,8.6,8.8,8.8,8.6,8.8,7.6,9,9.1,0,0,0,1,1,0,0,0,1,0,1,1,1,15.5,0
Residence Inn by Marriott Orlando at SeaWorld,32821,1447,8.5,8.4,8.5,8.3,8.6,8.3,8.4,8.8,0,0,0,1,1,0,0,1,1,1,1,0,0,10.6,0
Hyatt House across from Universal Orlando Resort,32819,26,9.2,9.1,9.1,9.1,9.3,9.1,9.3,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,5.6,0
Water Oak IR700,34747,9,9,8.3,9.7,8.6,9.5,8.9,9.2,6,0,1,0,0,0,0,0,1,1,0,0,1,0,20.5,2
Casiola Vacation Homes,32819,524,8.9,8.9,9.1,8.9,8.4,8.8,9.3,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1,0
Embassy Suites by Hilton Orlando International Drive Convention Center,32819,773,8.7,8.7,8.7,8.6,8.8,8.2,7.4,9.1,0,0,0,1,1,0,0,0,1,0,1,1,1,8.1,0
TownePlace Suites by Marriott Orlando at SeaWorld,32821,191,9.3,9.4,9.2,9.2,9.4,9.2,8.3,9.3,0,1,0,1,0,0,0,1,1,1,0,0,0,9.3,0
Residence Inn by Marriott Orlando at Millenia,32839,36,9.5,9.7,9.9,9.4,9.5,9,8.5,9.6,0,1,0,0,0,0,0,1,1,1,0,1,0,4.3,0
Hilton Grand Vacations at Tuscany Village,32821,982,8.9,8.9,9.2,8.9,8.9,8.5,8.1,9.3,1,1,0,1,0,0,0,0,0,0,1,1,1,11.8,0
Four Seasons Resort Orlando at Walt Disney World Resort,32836,271,9.3,9.6,9.6,9.6,9.4,8.1,9.4,9.3,0,0,0,1,1,0,0,1,1,1,1,0,0,13,0
Hampton Inn Orlando Near Universal Blv/International Dr,32819,877,8.6,8.6,8.5,8.3,8.9,8.3,8.4,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,6.8,0
Homewood Suites by Hilton Orlando-Intl Drive/Convention Ctr,32819,585,8.7,8.7,8.7,8.6,8.7,8.4,7.6,9.2,0,0,0,1,1,0,0,0,1,0,0,1,1,8.1,0
Comfort Suites UCF/Research Park,32826,365,8.6,8.7,8.5,8.5,9,8.2,8.8,8.8,0,1,1,0,0,0,0,1,1,0,0,1,0,10.6,0
Hyatt Place Orlando Lake Buena Vista,32836,467,8.9,9,9,8.7,8.7,8.5,9,9.1,0,1,0,0,0,0,0,1,0,1,1,1,0,12.4,0
Hyatt Regency Orlando,32819,1821,8.9,9,9.1,9.1,8.9,8.1,8.7,9.1,0,0,0,1,1,1,0,1,0,1,1,0,0,8.7,0
Eight Bedrooms with Private Pool and Spa (1747),34747,7,8.9,9.3,9.3,8.9,7.5,8.6,9.7,4,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5,2
Galleria Palms Orlando,34747,1074,8.6,8.6,8.4,8.3,8.7,8.6,9,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6,0
Kissimmee Area Pool Home,34747,12,9.1,9,9.2,9.4,8.8,9.2,9,8,0,1,0,0,0,0,1,1,1,0,0,1,0,18,0
Summerville Resort Five Bedroom Townhome SV102,34747,7,9.4,9.3,8.9,9.7,9.3,9.7,9.7,6,0,1,0,1,0,0,0,1,0,1,0,1,0,18.6,2
Courtyard by Marriott Orlando Lake Buena Vista in the Marriott Village,32821,1941,8.6,8.7,8.6,8.5,8.6,8.4,8.3,8.9,0,0,0,1,1,1,0,1,1,0,1,0,0,13,0
The Point Hotel & Suites Universal Blvd,32819,799,8.8,8.6,9,8.7,8.9,8.5,8.7,9,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8,0
SpringHill Suites by Marriott Orlando at SeaWorld,32821,1140,9.1,9.1,9.1,8.9,9.2,8.9,9.3,8.8,1,0,0,1,1,0,0,0,0,0,1,1,0,9.3,0
Holiday Inn Orlando – Disney Springs™ Area,32830,1369,8.6,8.6,8.5,8.4,8.8,8.1,8.6,9,1,0,0,0,1,0,0,1,1,0,1,1,0,13,0
Spacious Vacation Home Rental House 77Tb12,34747,6,8.3,7.1,8.8,8.8,8.8,7.9,8.8,5,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3,2
Residence Inn Orlando Lake Buena Vista,32836,250,8.7,8.6,8.8,8.6,8.7,8.6,8.7,8.9,0,0,0,1,1,0,0,1,0,1,1,1,0,11.8,0
Hilton Grand Vacations at SeaWorld,32821,1524,8.8,8.8,9,8.9,8.7,8.5,8.2,9.1,0,1,0,1,0,0,0,0,0,0,1,1,1,9.9,0
"The Ritz-Carlton Orlando, Grande Lakes",32837,344,8.8,9,9,8.9,9.1,8,8.4,8.7,0,0,0,1,1,0,0,0,0,1,1,1,1,9.3,0
Formosa Garden Pool Home,34747,24,9.2,8.9,9.6,8.9,9.1,9.3,9.3,8.8,0,1,0,0,0,0,1,1,1,0,0,0,0,19.9,0
Renaissance Orlando at SeaWorld®,32821,1699,8.9,9.1,9.1,9,8.9,8.3,6.9,9.1,0,0,0,1,1,1,0,0,1,0,1,0,1,9.9,0
Caribe Royale Orlando Near Disney,32821,3263,8.6,8.7,8.7,8.6,8.6,8.1,7.4,8.8,0,0,0,1,1,0,0,1,0,0,1,1,0,13.7,0
Wyndham Grand Orlando Resort Bonnet Creek,32830,2575,8.6,8.7,8.8,8.8,8.6,8,8.5,8.8,0,0,0,1,1,0,0,1,1,1,1,0,0,14.9,0
Vista Cay Resort by Millenium at Universal Blvd.,32819,463,8.5,8.4,8.7,8.5,8.1,8.3,8.9,9.1,0,1,0,1,0,0,0,1,1,0,1,1,0,8.1,0
Orlando Escape,32819,128,9.1,9.4,9.4,9.3,8.4,9,9.6,9.3,0,1,0,1,0,1,0,1,1,0,1,0,0,8.1,0
Universal’s Family Suites at Cabana Bay Beach Resort,32819,176,8.6,8.7,8.6,8.5,8.6,8,8,9.3,0,0,0,1,1,0,0,1,1,0,1,1,0,6.8,0
Ashcroft 411L Six-Bedroom House,34761,5,8.2,8.5,8.5,8.5,8.5,7.5,7.5,3,0,1,0,1,0,1,0,1,1,0,1,0,0,20.5,2
The Boat House,34747,10,9.3,8.8,9.5,9.5,9.7,9.3,9.3,8,0,1,0,0,0,0,1,1,1,0,0,1,0,20.5,0
Homewood Suites by Hilton Orlando-Nearest to Universal Studios,32819,559,8.7,8.7,8.8,8.7,8.9,8.5,8.2,9,0,1,0,1,0,0,0,1,1,0,0,1,0,6.2,0
Quality Inn & Suites By The Parks,34747,3294,8.6,8.6,8.3,8.3,9,8.6,8.3,8.7,0,1,0,0,0,0,0,1,1,0,0,0,0,18.6,0
Villas of Grand Cypress,32836,417,9.1,9.3,9.4,9.2,9.2,8.5,9,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,12.4,0
Hyatt Place across from Universal Orlando Resort,32819,645,8.3,8.3,8.3,8,8.7,8,8.1,8.7,0,1,0,1,0,0,0,1,1,1,1,0,0,5.6,0
Disney Bunk Room--Windsor Hills,34747,7,9,8.6,9.3,9.7,8.2,8.9,9.3,6,0,1,1,0,0,0,0,1,1,0,1,1,0,19.3,2
Blue Heron Beach Resort,32821,912,8.6,8,8.7,8.5,8.6,8.7,9,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,13,0
Holiday Inn Express-International Drive,32819,681,8.7,8.8,8.8,8.5,8.6,8.4,8.3,8.9,1,1,0,0,0,0,0,1,1,0,0,1,0,7.5,0
Hyatt Regency Grand Cypress,32836,1586,8.9,8.9,9.1,9.2,9,8.2,8.8,9.1,0,0,0,1,1,1,0,1,0,1,1,0,0,13,0
Courtyard by Marriott Orlando South/John Young Parkway,32837,156,9.1,9.4,9.1,9.2,9.1,8.8,8.5,8.7,1,1,0,0,0,0,0,1,0,0,1,1,0,8.1,0
Loyalty Vacation Homes - Kissimmee,33896,174,9,8.8,9.2,9.1,8.9,8.9,9.3,8.9,0,1,0,1,0,0,0,1,1,1,0,0,0,20.5,0
Comfort Suites,32819,626,8.8,8.7,8.8,8.6,8.8,8.8,8.2,9.1,1,1,0,0,0,0,0,1,0,0,0,1,0,5.6,0
Best Western Orlando Gateway Hotel,32819,5361,8.4,8.3,8.2,8.1,8.7,8.3,8.6,8.8,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8,0
Sheraton Suites Orlando Airport Hotel,32822,1094,8.6,8.7,8.8,8.5,8.5,8.1,8.7,8.8,0,0,0,1,1,0,0,1,0,1,1,0,0,6.8,0
Fairfield Inn & Suites by Marriott Orlando International Drive/Convention Center,32819,690,8.7,8.8,8.8,8.6,8.7,8.5,8.6,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,7.5,0
Hilton Orlando,32819,957,8.5,8.8,8.8,8.8,8.6,7.5,6.5,8.6,1,0,0,1,1,0,0,0,0,0,1,1,1,8.7,0
Marriott's Cypress Harbour Villas,32821,317,9.5,9.5,9.7,9.6,9.5,9.3,9.8,9.6,0,1,0,1,0,0,0,1,0,0,1,1,0,10.6,0
Oakwater Resort 7514,34747,10,9,9.2,9.5,8.5,8.1,9.5,9.5,5,0,1,0,1,0,0,0,1,1,0,0,1,0,18.6,2
Cypress Pointe Resort by Diamond Resorts,32836,849,8.8,8.8,8.9,8.6,8.7,8.7,8.5,9,1,1,0,0,0,0,0,1,0,0,0,1,0,11.8,0
Regal Oaks Resort 2719,34746,8,8.9,8.5,9.1,9.1,8.8,8.8,10,9.4,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2,0
Universal Studios Area Apartment,32819,67,9.2,9.1,9.5,9.2,8.9,9.2,8.8,9.3,0,1,0,1,0,0,0,1,0,0,0,1,0,8.1,0
Regal Oaks Resort 2749,34746,7,8.7,8.2,9.7,8.9,7.5,8.6,7.5,9.3,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2,0
Grande Villas Resort By Diamond Resorts,32836,869,8.9,8.8,8.9,8.8,8.9,8.7,8.5,9.1,0,1,1,1,0,0,0,1,0,0,0,1,0,11.8,0
Legacy Vacation Resorts - Lake Buena Vista,32836,641,8.5,8.3,8.5,8.2,8.8,8.4,8.6,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,12.4,0
Grand Beach Resort By Diamond Resorts,32821,518,9,9,9.2,8.9,8.8,8.8,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,13.7,0
Patty's Place,34747,19,9.4,9.5,9.5,9.4,9.4,9.4,10,9.6,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3,0
Hampton Inn & Suites Orlando/Downtown South - Medical Center,32806,380,9.2,9.6,9.5,9.3,9.4,8.6,8.3,8.7,0,0,0,1,1,0,0,1,0,0,0,1,0,2950,0
Parkway International Celebration Area By Diamond Resorts,34746,454,8.9,8.7,9.1,8.8,8.9,9,8.6,8,0,1,0,1,0,0,0,1,1,0,1,1,0,16.2,0
Rocco's Retreat,34747,13,8.5,8.6,8.8,8.6,8.1,8.3,7.5,8.5,0,1,0,0,0,0,0,1,1,1,0,1,0,17.4,0
Holiday Inn Express & Suites - Orlando At Seaworld,32821,222,9.2,9.4,9.3,9.3,9.2,8.8,9.3,9.3,0,1,0,1,0,0,0,1,1,0,0,1,0,9.3,0
Mystic Dunes Resort & Golf Club By Diamond Resorts,34747,1495,8.7,8.7,8.9,8.7,8.6,8.6,7.6,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,0
Wingate By Wyndham - Orlando International Airport,32822,769,8.7,8.9,8.8,8.5,8.5,8.4,8.7,8.9,0,1,0,1,0,0,0,1,0,0,0,1,0,6.2,0
Comfort Suites Orlando Airport,32809,1067,8.7,8.8,8.9,8.5,8.6,8.6,8.5,8.5,0,0,0,0,1,0,0,1,1,0,0,1,0,5.6,0
Hampton Inn & Suites Orlando-East UCF,32817,456,9.1,9.4,9.3,9.2,9.2,8.9,8.8,8.8,0,1,0,1,0,0,0,1,1,0,0,1,0,10.6,0
Aloft Orlando Downtown,32801,276,8.6,8.9,8.8,8.6,8.9,7.7,8.9,8.9,0,0,0,1,1,0,0,1,0,1,1,1,0,1500,0
Playhouse,34747,6,8.8,8.8,9.6,9.2,8.3,8.3,8.3,3,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5,2
