hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Free Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Outdoor Pool,Pet Friendly,Bar,Non-smoking Rooms,WiFi,Dist,Label
Avanti Palms Resort And Conference Center,32819,895,7.3,6.6,7.4,6.9,7.4,7.1,7.7,8.5,0,1,0,1,0,0,0,1,1,1,1,0,0,7.5,1
Melia Orlando Hotel,34747,891,8.1,8,8.2,8,8.2,7.7,8.3,8.4,0,1,0,1,0,0,0,1,1,1,1,0,0,16.8,1
Wyndham Orlando Resort International Drive,32819,2872,7.7,7.7,7.6,7.5,8.1,7.2,8.1,8.4,0,0,0,1,1,0,0,1,1,1,1,0,0,7.5,1
Eight Bedrooms with Private Pool and Spa (1756),34747,8,7.4,7.5,7.8,7.2,6,6.6,9.4,4,0,1,0,0,0,0,1,1,1,0,0,0,0,20.5,2
Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive,32819,4018,7.3,7.2,7.2,7,7.4,7,7.2,8.2,0,1,0,1,0,1,0,1,1,0,1,0,0,7.5,1
Ramada by Wyndham Suites Orlando Airport,32822,1134,7.7,7.5,7.6,7.2,8.1,7.5,8.5,8.4,0,1,1,1,0,0,0,1,0,0,0,0,0,6.8,1
Extended Stay America - Orlando - Convention Center - Universal Blvd,32819,661,7.6,7.1,7.4,7.2,8.1,7.5,6.8,8.5,0,1,0,1,0,0,0,1,0,1,0,1,0,8.1,1
Golf View Vacation Rentals,34747,201,7.4,7.4,7.7,7.3,6.9,7.3,8,7.5,0,1,0,0,0,0,1,1,0,1,0,1,0,18.6,1
Ramada by Wyndham Kissimmee Gateway,34747,2517,7.3,6.9,7.1,6.9,7.5,7.4,6.7,8,0,1,0,1,0,0,0,1,0,1,1,1,0,18.6,1
La Quinta Inn & Suites Orlando Universal Area,32819,1108,7.7,7.5,7.7,7.2,8.1,7.6,7.8,8.4,0,1,0,0,0,0,0,1,1,1,0,1,0,5.6,1
Simba's Lake House,34747,6,8.2,7.9,8.8,7.1,9,7.9,8.3,1,0,1,0,0,0,0,0,1,1,1,0,1,0,19.9,2
Days Inn by Wyndham Orlando Airport Florida Mall,32837,2688,7.4,7.2,7.2,7,7.7,7.6,8.3,7.4,0,1,0,0,0,0,0,1,0,1,0,1,0,7.5,1
Six Bedrooms with Private Pool and Spa (1746),34747,7,7.9,7.5,8.6,8.2,6.4,8.2,10,8.6,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5,1
Red Roof Inn Orlando South - Florida Mall,32809,693,7.4,7.2,7.3,7.1,7.9,7.2,7.8,7.7,0,1,0,0,0,0,0,1,1,1,0,1,0,6.2,1
Best Western Airport Inn & Suites,32809,1991,7.8,7.9,7.7,7.5,8,7.8,8.3,7.9,0,0,0,1,1,0,0,1,1,0,0,0,0,5.6,1
Holiday Inn Orlando International Airport,32822,675,7.2,7,7.2,6.6,7.6,6.7,7.9,7.9,0,0,0,0,1,0,0,1,0,1,0,1,0,6.8,1
The Floridian Hotel and Suites,32819,948,7.3,6.8,7,6.7,7.5,7.3,6.2,8.4,0,1,0,1,0,0,0,1,0,0,0,1,0,7.5,1
Days Inn by Wyndham Orlando/International Drive,32819,3999,5.6,5,5.2,4.9,6,5.6,6.5,7.1,0,0,0,1,1,0,0,1,0,0,0,1,0,6.8,1
ACO - Windsor Hills with Private pool (1617),34747,40,7.5,7.3,7.8,7.3,7.4,6.9,9.1,8.3,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3,1
Altamonte Hotel & Suites,32714,811,5,4.5,4.9,4.3,5.8,4.9,5.8,5.5,0,1,0,1,0,0,0,1,0,1,0,1,0,8.1,1
Quality Suites Orlando I-Drive Convention Center,32819,1094,7.7,7.7,7.9,7.4,7.4,7.7,7.5,8.4,0,1,0,1,0,0,0,1,1,0,0,1,0,7.5,1
Paradise Palms 4 Bedroom-3082,34747,12,8.8,8.8,9,9.3,7.9,9,8.8,7,0,1,0,0,0,0,0,1,1,0,0,0,0,18,0
Paradise Palms 4 Bedroom-3281,34747,7,8.7,8.9,8.6,8.9,8.9,8.6,8.2,4,0,1,1,0,0,0,0,1,1,0,0,0,0,18,2
Quality Inn & Suites,32819,2126,8.1,8.1,7.8,7.7,8.2,8.1,8,8.6,1,1,0,0,0,0,0,1,1,0,0,1,0,5.6,1
Sheraton Orlando Lake Buena Vista Resort,32836,1192,7.5,7.3,7.5,7.4,7.7,6.8,7.7,8,0,0,0,1,1,0,0,1,1,1,1,0,0,12.4,1
Windsor Hills Six Bedroom Holiday Home 26Dv29,34747,17,7.9,7.7,8.4,7.5,7.4,7.7,8.8,7,0,1,0,0,0,0,1,1,1,0,0,0,0,19.3,1
Paradise Palms 5 Bedroom-3613,34747,10,9.1,8.8,9.3,9.8,8.5,9.3,10,9,0,1,1,0,0,0,0,1,1,0,0,0,0,18,0
Sunny Oaks,34747,5,8.3,8,8.5,8.5,8.5,8.5,10,8,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5,0
Four Points by Sheraton Orlando International Drive,32819,521,7.8,7.8,7.8,7.4,8,7.3,8.5,8.6,1,1,0,1,0,0,0,1,0,0,1,1,0,6.8,1
Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney,34747,958,7.4,7.2,7.3,7.1,7.6,7.2,6.6,8,0,1,0,1,0,1,0,1,1,0,1,0,0,18,1
Marriott's Grande Vista,32821,1170,8.8,8.9,9,8.9,8.8,8.4,8.7,8.9,0,1,0,1,0,0,0,1,1,0,1,1,0,10.6,0
Best Western Plus Universal Inn,32819,1102,8.5,8.4,8.3,8.1,8.5,8.5,8.6,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,5.6,0
Coco Key Hotel & Water Park Resort,32819,2679,7,6.7,6.9,6.9,7.2,6.6,6.2,8,0,1,0,1,0,0,0,1,1,0,1,1,0,7.5,1
"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals",34747,77,7.9,7.6,8.2,7.7,7.7,7.6,8.6,8.5,0,1,0,1,0,0,0,1,0,0,0,1,0,18.6,1
Drury Inn & Suites Orlando,32822,1664,9.1,9.1,9.1,9,9.2,9,9,9.2,0,1,0,1,0,0,0,1,1,1,0,0,0,8.1,0
Westgate Leisure Resort,32821,355,8.1,8.1,8.2,8,8.2,7.9,7.3,8.5,0,1,0,1,0,0,0,0,0,0,0,1,1,10.6,1
Windsors Hills 7749,34747,5,9.1,9,9.5,9.5,8.5,8.5,9.5,4,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,2
Hampton Inn & Suites Orlando near SeaWorld,32821,1056,9,9.2,9.1,8.9,9,8.9,8.3,9.2,1,1,0,1,0,0,0,1,0,0,0,0,0,9.9,0
Westgate Vacation Villas Resort,34747,460,7.7,7.7,7.7,7.6,7.9,7.3,7.2,8.2,0,1,0,1,0,0,0,1,1,1,1,0,0,19.3,1
Three Bedroom Vacation Townhouse Oakwater Resort 28ow14,34747,5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,4,0,1,1,0,0,0,0,1,1,0,0,1,0,18.6,2
Marriott's Sabal Palms,32821,26,8.5,8.6,8.6,8.7,8.5,8.1,9.6,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,14.3,0
Rosen Inn Closest to Universal,32819,1851,8.5,8.3,8.2,8.1,8.4,8.5,7.6,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,6.8,0
Windsor Wonderland Home,34747,12,9.2,9.2,9.4,9.4,8.8,9.2,9.4,8.8,0,1,0,0,0,0,1,1,0,0,0,0,0,19.3,0
Seaescape,32819,17,9.4,9.6,9.7,9.6,8.3,9.6,10,9.4,0,1,0,1,0,1,0,1,0,1,1,0,0,8.1,0
Shoreway Loop l 2004-Two Bedroom Apartment,32819,6,9.2,9.2,9.6,9.2,8.8,9.2,9.2,4,0,1,1,0,0,0,0,1,1,0,0,0,0,8.1,2
Residence Inn by Marriott Near Universal Orlando,32819,29,9.5,9.8,9.7,9.5,9.5,9.2,2.5,9.4,0,1,1,0,0,0,0,1,1,0,0,1,0,5.6,0
White Crane Home by Florida Dream Homes,34746,13,9.1,8.5,9.4,9.4,9.4,9.1,9.1,10,0,0,0,0,0,0,1,0,1,0,0,0,0,19.3,0
Six Bedrooms with Private Pool and Spa (1751),34747,10,8,8.9,8.3,8,7,7.2,5,8.3,0,1,0,0,0,0,0,1,1,0,0,0,0,20.5,1
Orlando International Resort Club,32819,287,9,9.1,9.1,8.9,9,8.9,7.7,9.1,0,1,1,0,0,0,0,1,0,0,0,1,0,6.2,0
Windsor Magic,34741,5,8.9,9,9.5,9,8,8.5,9.5,2,0,1,1,0,0,0,0,1,0,0,0,0,0,19.3,2
Contessa Dr,32829,12,9.8,9.6,9.8,9.8,9.8,10,10,9.6,0,1,0,0,0,0,1,1,0,0,0,1,0,8.1,0
Regal Oaks Three Bedroom Villa,34746,6,9.3,10,8.3,8.8,9.6,9.2,10,4,0,1,1,0,0,0,0,1,1,0,1,0,0,16.2,2
Hampton Inn & Suites Orlando Airport at Gateway Village,32812,478,8.9,9.1,9,8.9,9.1,8.3,8.6,9.1,0,1,0,1,0,0,0,1,0,0,0,1,0,6.8,0
101 Dalmatian's Den,34747,5,9.4,9.5,9.5,9.5,9.5,9,9.5,4,0,1,0,0,0,0,0,1,1,1,0,1,0,19.9,2
SeaWorld - Disney Apartments by NUOVO,32821,23,8.6,9,8.1,8.6,8.2,8.3,8.8,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,9.9,0
DoubleTree by Hilton Orlando East - UCF Area,32817,355,8.9,9.1,9,8.9,9.2,8.4,8.9,8.9,0,1,0,1,0,0,0,1,0,0,0,1,0,11.2,0
The Windsor Wonderland 6 BR Villa,34747,7,7.9,7.9,7.9,7.9,7.5,7.9,8.2,4,0,1,0,1,0,0,0,1,1,0,0,1,0,19.3,2
Windsor Hills Townhomes by IPG,34747,10,7.8,7.3,7.3,7,8.3,7.5,10,9.3,0,1,0,0,0,0,1,1,1,0,0,1,0,19.3,1
FunQuest Condos at Windsor Hills Kissimmee,34747,36,7.3,7.2,7.6,7.2,6.3,7.5,9.7,8.2,0,1,0,1,0,0,0,1,1,0,1,1,0,19.3,1
The Windsor Hills Resort-7664,34747,6,8.8,8.8,8.8,9.2,8.8,8.3,10,9.2,0,1,1,1,0,0,0,1,1,0,0,0,0,19.3,0
Nemo's Nook,34741,9,8.9,8.9,9.2,9.2,7.8,8.6,7.5,9.7,0,1,1,0,0,0,0,1,0,0,0,0,0,19.3,0
Luxury Villas in Encore Waterpark,34747,25,9.1,9.1,9.2,9.3,9,8.7,10,9.2,0,1,0,1,0,0,0,1,1,0,1,1,0,20.5,0
Rosen Centre Hotel Orlando Convention Center,32819,305,8.7,9,8.7,8.8,8.7,8,7.9,9.2,0,0,0,1,1,0,0,1,0,1,1,1,0,8.7,0
Festiva Orlando Resort,34747,520,8.6,8.3,8.4,8.4,8.8,8.9,8.9,8.7,0,1,0,1,0,0,0,1,1,1,0,0,0,19.9,0
Hampton Inn & Suites Orlando International Drive North,32819,478,8.8,8.9,8.8,8.6,9,8.5,7.9,8.8,0,1,0,1,0,0,0,1,1,0,1,1,0,7.5,0
Hampton Inn Lake Buena Vista / Orlando,32836,586,9,9.1,8.9,8.8,9.3,8.9,8.9,9.1,0,1,0,1,0,0,0,1,1,0,0,1,0,11.8,0
2/3 Bed Condos Close to Disney,32821,5,9.8,10,10,10,10,9,10,5,0,1,0,1,0,0,0,1,1,0,0,1,0,9.9,2
La Quinta Inn & Suites Orlando UCF,32826,67,9.3,9.5,9.3,9.2,9.6,9.1,9.6,9.4,0,1,0,1,0,0,0,1,1,1,0,0,0,11.2,0
Tropical Palms Premium Three-Bedroom Cottage 40,34746,7,7.9,8.2,7.5,7.9,8.2,7.2,10,8.2,0,1,1,0,0,0,0,1,1,0,0,0,0,16.2,1
Three Bedroom Condo First Floor Gated Community,34747,6,9.9,10,10,10,9.6,10,10,6,0,1,1,1,0,0,0,1,0,0,0,1,0,18.6,2
Homewood Suites by Hilton Orlando North Maitland,32751,96,8.9,9,9.2,9,9.1,8.6,8.8,8.3,0,1,0,1,0,0,0,1,1,0,0,1,0,6.2,0
SuiteLivingPlus,32821,56,9,9.5,9.4,9.1,8.3,8.5,8.8,9,0,1,0,0,0,1,0,1,1,0,0,1,0,8.1,0
Windsor Magic,34747,11,9.1,9.3,8.9,9.1,9.1,8.9,9.1,8,0,1,0,0,0,0,1,1,1,0,0,0,0,19.3,0
La Quinta Inn & Suites Orlando Airport North,32812,984,8.6,8.7,8.6,8.4,8.6,8.4,8.9,8.9,0,1,0,0,0,0,0,1,0,1,0,1,0,6.2,0
SpringHill Suites by Marriott Orlando Convention Center,32819,257,8.7,8.5,8.7,8.5,9,8.4,8.5,8.9,0,1,0,1,0,0,0,1,1,0,0,1,0,8.1,0
Homewood Suites by Hilton Orlando Airport,32812,171,9,9.1,9.1,8.9,9,8.7,8.5,9,0,0,0,1,1,0,0,1,0,1,0,0,0,6.8,0
Delta Hotels by Marriott Orlando Lake Buena Vista,32836,216,8.7,8.9,8.9,8.6,8.8,8.2,8.6,8.8,0,0,1,0,1,0,0,1,1,0,1,1,0,12.4,0
Disney&Golf Holiday Home,34747,5,9.6,10,10,10,9.5,9,9,4,0,1,1,0,0,0,0,1,1,0,1,1,0,21.1,2
Paradise Palms 4 Bedroom-3032,34747,6,9.5,10,9.2,9.6,9.2,9.6,9.2,5,0,1,0,0,0,0,0,1,1,0,0,0,0,18,2
Regal Oaks Stay Orlando,34746,11,9.4,9.8,9.6,8.9,9.1,9.6,7.5,9.6,0,1,1,0,0,0,0,1,1,0,1,1,0,16.2,0
Embassy Suites Orlando - North,32701,246,8.5,8.5,8.5,8.4,8.6,8.2,8.1,8.7,0,1,0,1,0,0,0,1,0,0,1,1,0,8.7,0
Las Palmeras by Hilton Grand Vacations,32819,176,8.9,9.2,9.1,8.9,9,8.3,9,8.7,0,0,1,1,1,0,0,0,0,0,1,1,1,8.1,0
Fairfield Inn & Suites by Marriott Orlando East/UCF Area,32817,136,9,9.3,9.2,9,9,8.5,8.5,8.8,0,1,1,0,0,0,0,1,1,0,0,1,0,10.6,0
Paradise Palms 6 Bedroom-3150,34747,5,8.8,8.5,9,8,8.5,9,9.5,3,0,1,1,0,0,0,0,1,1,0,0,0,0,18,2
Courtyard Orlando International Drive/Convention Center,32819,110,8.7,9.1,8.7,8.5,8.9,8.2,8.6,9,0,1,1,0,0,0,0,1,0,0,0,1,0,8.1,0
The Courtyard at Lake Lucerne,32801,49,8.8,8.9,8.8,8.7,8.9,8.5,8.1,9,0,1,0,0,0,0,1,1,0,0,0,1,0,2600,0
Rosen Inn at Pointe Orlando,32819,1713,8.3,8.2,8,8.1,8.2,8.3,8.3,9,0,1,0,1,0,0,0,1,1,1,1,0,0,8.7,1
Sun Lake Resort-3126,34747,6,9.1,9.6,9.2,8.3,7.9,10,9.6,5,0,1,1,1,0,0,0,1,0,0,0,0,0,18.6,2
Magic Tree Resort,34747,55,9,8.9,9.2,8.9,9,8.8,9.6,9.2,0,1,1,1,0,0,0,1,0,0,0,1,0,18.6,0
Pool Paradise,34747,13,9.2,8.9,9.6,9.1,9.1,9.4,7.5,9.4,0,1,0,0,0,0,1,1,1,1,0,0,0,20.5,0
Hampton Inn & Suites Orlando-John Young Parkway/South Park,32819,334,9.2,9.4,9.3,9.2,9.3,9,8.8,8.8,1,1,0,0,0,0,0,1,1,0,0,1,0,6.8,0
Hampton Inn Closest to Universal Orlando,32819,277,8.8,8.9,8.8,8.5,9.2,8.6,8.6,8.9,0,1,1,0,0,0,0,1,1,0,0,1,0,5.6,0
Celebration Suites 2 Bedroom Condo,34746,11,9.1,9.1,9.1,8.6,8.9,8.8,9.8,7,0,1,0,1,0,0,0,1,0,1,0,1,0,16.2,0
Tropical Palms Standard Two-Bedroom Cottage 16,34746,7,8.7,9.3,7.9,8.6,8.2,8.9,9.3,4,0,1,1,0,0,0,0,1,1,0,0,0,0,16.2,2
Apartment Nena,32819,16,8.9,9.1,8.9,8.9,8.6,8.6,8.3,9.2,0,1,0,1,0,0,0,1,1,0,0,1,0,8.7,0
Vista Apartment Three Bedroom Apartment JU7,32819,5,9.1,8.5,9.5,9.4,8.1,9.5,8.8,9.5,0,1,1,0,0,0,0,1,1,0,1,0,0,8.1,0
Hilton Garden Inn Orlando Lake Buena Vista,32836,306,8.3,8.5,8.6,8.3,8.3,8,7.6,8.4,0,1,1,1,0,0,0,1,0,0,1,1,0,11.8,0
Vacation Home Rental Near Disney 27Il01,34746,9,8.7,8.1,9.2,8.6,8.6,8.3,9.4,4,0,1,1,0,0,0,0,1,1,0,1,1,0,16.2,2
WorldMark Orlando Kingstown Reef,32821,43,8.7,8.7,8.9,8.7,8.6,8.4,4.5,8.8,0,1,1,1,0,0,0,0,0,0,0,0,1,11.2,0
King Triton's Castle,34747,10,8.7,8.5,9.3,9,8.8,8,10,8.8,0,1,0,0,0,0,0,1,1,1,0,1,0,20.5,0
Closest Vacation Home Holiday Rental 26Ds37,34747,13,8,8.3,8.5,7.9,7.3,7.3,10,9,0,1,1,0,0,0,0,1,0,0,0,1,0,19.3,1
Rosen Shingle Creek Universal Blvd,32822,297,9.1,9.3,9.3,9.3,9,8.7,8.1,9.1,0,0,0,1,1,1,0,1,0,0,1,1,0,8.1,0
Mickey's Beach House,34747,5,8.7,9,9,9,8.5,8.5,7.5,8,0,1,0,0,0,0,0,1,1,1,0,1,0,20.5,0
The Alfond Inn,32789,137,9.1,9.3,9.3,9.2,9.3,8.1,9.4,9.4,0,0,0,1,1,0,0,1,1,1,1,0,0,4.3,0
Residence Inn Orlando Convention Center,32819,49,8.7,8.8,8.9,8.5,8.9,8.4,8.1,8.9,0,1,1,1,0,0,0,1,1,0,0,0,0,8.1,0
Hawthorn Suites By Wyndham Orlando International Drive,32819,265,8,7.5,8.1,7.7,8.2,7.8,7.7,8.9,0,1,0,1,0,0,0,1,0,1,0,1,0,7.5,1
Windsor Hills Resort Kissimmee - Disney Area,34747,35,8.4,7.9,8,8,8.8,8.6,7.5,9.2,0,1,0,1,0,0,0,1,0,1,1,1,0,19.3,0
Blue Heron Resort Condo 206,32821,16,8.9,9.2,8.6,8.3,8.8,8.9,9.7,10,0,1,0,1,0,0,0,1,1,0,1,1,0,13,0
Tropical Palms Premium Loft Cottage 33,34746,5,9.1,9,8.5,9.5,8.5,9,10,10,0,1,1,0,0,0,0,1,1,0,0,0,0,16.2,0
Audez Tropical Haven,34747,5,9,9,9,9,9,9,9,3,0,1,0,0,0,0,0,1,1,1,0,1,0,20.5,2
